ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI,
1,Women,Canada,Meghan,Agosta,148,5'7,2/12/1987,Ruthven,Ont.,Forward,35,5.58,67.00,23,
2,Women,Canada,Rebecca,Johnston,148,5'9,9/24/1989,Sudbury,Ont.,Forward,33,5.75,69.00,22,
3,Women,Canada,Laura,Stacey,156,5'10,5/5/1994,Kleinburg,Ont.,Forward,28,5.83,70.00,22,
4,Women,Canada,Jennifer,Wakefield,172,5'10,6/15/1989,Pickering,Ont.,Forward,33,5.83,70.00,25,
5,Women,Canada,Jillian,Saulnier,144,5'5,3/7/1992,Halifax,N.S.,Forward,30,5.42,65.00,24,
6,Women,Canada,Mélodie,Daoust,159,5'6,1/7/1992,Valleyfield,Que.,Forward,30,5.50,66.00,26,
7,Women,Canada,Bailey,Bram,150,5'8,9/5/1990,St. Anne,Man.,Forward,32,5.67,68.00,23,
8,Women,Canada,Brianne,Jenner,156,5'9,5/4/1991,Oakville,Ont.,Forward,31,5.75,69.00,23,
9,Women,Canada,Sarah,Nurse,140,5'8,1/4/1995,Hamilton,Ont.,Forward,27,5.67,68.00,21,
10,Women,Canada,Haley,Irwin,170,5'7,6/6/1988,Thunder Bay,Ont.,Forward,34,5.58,67.00,27,
11,Women,Canada,Natalie,Spooner,180,5'10,10/17/1990,Scarborough,Ont.,Forward,32,5.83,70.00,26,
12,Women,Canada,Emily,Clark,130,5'7,11/28/1995,Saskatoon,Sask.,Forward,27,5.58,67.00,20,
13,Women,Canada,Marie-Philip,Poulin,160,5'7,3/28/1991,Beauceville,Que.,Forward,31,5.58,67.00,25,
14,Women,Canada,Blayre,Turnbull,155,5'7,7/15/1993,Stellarton,N.S.,Forward,29,5.58,67.00,24,
15,Women,Canada,Jocelyne,Larocque,139,5'6,5/19/1988,Ste. Anne,Man.,Defence,34,5.50,66.00,22,
16,Women,Canada,Brigette,Lacquette,180,5'6,10/11/1992,Mallard,Man.,Defence,30,5.50,66.00,29,
17,Women,Canada,Lauriane,Rougeau,167,5'8,4/12/1990,Beaconsfield,Que.,Defence,32,5.67,68.00,25,
18,Women,Canada,Laura,Fortino,137,5'4,1/30/1991,Hamilton,Ont.,Defence,31,5.33,64.00,24,
19,Women,Canada,Meaghan,Mikkelson,139,5'9,1/4/1985,St. Albert,Alta.,Defence,37,5.75,69.00,21,
20,Women,Canada,Renata,Fast,144,5'6,10/6/1994,Burlington,Ont.,Defence,28,5.50,66.00,23,
21,Women,Canada,Shannon,Szabados,146,5'8,8/6/1986,Edmonton,Alta.,Goalie,36,5.67,68.00,22,
22,Women,Canada,Geneviève,Lacasse,136,5'8,5/5/1989,Kingston,Ont.,Goalie,33,5.67,68.00,21,
23,Women,Canada,Ann-Renée,Desbiens,160,5'9,4/10/1994,La Malbaie,Que.,Goalie,28,5.75,69.00,24,
24,Men,Canada,Gilbert,Brulé,190,5'11,1/1/1987,Vancouver,B.C.,Forward,35,5.92,71.00,26,
25,Men,Canada,Wojtek,Wolski,220,6'3,2/24/1986,Toronto,Ont.,Forward,36,6.25,75.00,27,
26,Men,Canada,Derek,Roy,187,5'9,5/4/1983,Rockland,Ont.,Forward,39,5.75,69.00,28,
27,Men,Canada,Chris,Kelly,194,6'0,11/11/1980,Toronto,Ont.,Forward,42,6.00,72.00,26,
28,Men,Canada,Rob,Klinkhammer,214,6'3,8/12/1986,Lethbridge,Alta.,Forward,36,6.25,75.00,27,
29,Men,Canada,Brandon,Kozun,170,5'8,3/8/1990,Calgary,Alta.,Forward,32,5.67,68.00,26,
30,Men,Canada,Quinton,Howden,190,6'2,1/21/1992,Oakbank,Man.,Forward,30,6.17,74.00,24,
31,Men,Canada,René,Bourque,216,6'2,12/10/1981,Lac La Biche,Alta.,Forward,40,6.17,74.00,28,
32,Men,Canada,Andrew,Ebbett,176,5'9,1/2/1983,Vernon,B.C.,Forward,39,5.75,69.00,26,
33,Men,Canada,Mason,Raymond,179,6'1,9/17/1985,Cochrane,Alta.,Forward,37,6.08,73.00,24,
34,Men,Canada,Eric,O’Dell,201,6'1,6/21/1990,Ottawa,Ont.,Forward,32,6.08,73.00,27,
35,Men,Canada,Maxim,Lapierre,216,6'0,3/29/1985,Brossard,Que.,Forward,37,6.00,72.00,29,
36,Men,Canada,Linden,Vey,190,6'0,7/17/1991,Wakaw,Sask.,Forward,31,6.00,72.00,26,
37,Men,Canada,Christian,Thomas,174,5'9,5/26/1992,Toronto,Ont.,Forward,30,5.75,69.00,26,
38,Men,Canada,Karl,Stollery,181,5'11,11/21/1987,Camrose,Alta.,Defence,35,5.92,71.00,25,
39,Men,Canada,Chris,Lee,187,6'0,10/3/1980,MacTier,Ont.,Defence,42,6.00,72.00,25,
40,Men,Canada,Chay,Genoway,170,5'9,12/20/1986,Morden,Man.,Defence,35,5.75,69.00,25,
41,Men,Canada,Marc-Andre,Gragnani,205,6'3,3/11/1987,L’Île-Bizard,Que.,Defence,35,6.25,75.00,26,
42,Men,Canada,Stefan,Elliott,190,6'1,1/30/1991,Vancouver,B.C.,Defence,31,6.08,73.00,25,
43,Men,Canada,Cody,Goloubef,200,6'1,11/30/1989,Oakville,Ont.,Defence,33,6.08,73.00,26,
44,Men,Canada,Mat,Robinson,185,5'10,6/20/1986,Calgary,Alta.,Defence,36,5.83,70.00,27,
45,Men,Canada,Maxim,Noreau,198,6'0,5/24/1987,Montreal,Que.,Defence,35,6.00,72.00,27,
46,Men,Canada,Ben,Scrivens,181,6'2,9/11/1986,Spruce Grove,Alta.,Goalie,36,6.17,74.00,23,
47,Men,Canada,Kevin,Poulin,205,6'2,4/12/1990,Montreal,Que.,Goalie,32,6.17,74.00,26,
48,Men,Canada,Justin,Peters,210,6'1,8/30/1986,Blyth,Ont.,Goalie,36,6.08,73.00,28,
49,Women,USA,Cayla,Barnes,145,5'1,1/7/1999,Eastvale,Calif.,Defence,23,5.08,61.00,27,
50,Women,USA,Kacey,Bellamy,145,5'7,4/22/1987,Westfield,Mass.,Defence,35,5.58,67.00,23,
51,Women,USA,Hannah,Brandt,150,5'6,11/27/1993,Vadnais Heights,Minn.,Forward,29,5.50,66.00,24,
52,Women,USA,Dani,Cameranesi,148,5'5,6/30/1995,Plymouth,Minn.,Forward,27,5.42,65.00,25,
53,Women,USA,Kendall,Coyne,123,5'2,5/25/1992,Palos Heights,Ill.,Forward,30,5.17,62.00,22,
54,Women,USA,Brianna,Decker,150,5'4,5/13/1991,Dousman,Wis.,Forward,31,5.33,64.00,26,
55,Women,USA,Meghan,Duggan,164,5'10,9/3/1987,Danvers,Mass.,Forward,35,5.83,70.00,24,
56,Women,USA,Kali,Flanagan,142,5'4,9/19/1995,Burlington,Mass.,Defence,27,5.33,64.00,24,
57,Women,USA,Nicole,Hensley,155,5'7,6/23/1994,Lakewood,Colo.,Goalie,28,5.58,67.00,24,
58,Women,USA,Megan,Keller,160,5'11,5/1/1996,Farmington,Mich.,Defence,26,5.92,71.00,22,
59,Women,USA,Amanda,Kessel,136,5'5,8/28/1991,Madison,Wis.,Forward,31,5.42,65.00,23,
60,Women,USA,Hilary,Knight,175,5'11,7/12/1989,Sun Valley,Idaho,Forward,33,5.92,71.00,24,
61,Women,USA,Jocelyne,Lamoureux-Davidson,150,5'6,7/3/1989,Grand Forks,N.D.,Forward,33,5.50,66.00,24,
62,Women,USA,Monique,Lamoureux-Morando,147,5'6,7/3/1989,Grand Forks,N.D.,Forward,33,5.50,66.00,24,
63,Women,USA,Gigi,Marvin,159,5'8,3/7/1987,Warroad,Minn.,Forward,35,5.67,68.00,24,
64,Women,USA,Sidney,Morin,140,5'5,6/6/1995,Minnetonka,Minn.,Defence,27,5.42,65.00,23,
65,Women,USA,Kelly,Pannek,165,5'8,12/29/1995,Plymouth,Minn.,Forward,26,5.67,68.00,25,
66,Women,USA,Amanda,Pelkey,135,5'3,5/29/1993,Montpelier,Vt.,Forward,29,5.25,63.00,24,
67,Women,USA,Emily,Pfalzer,125,5'3,6/14/1993,Buffalo,N.Y.,Defence,29,5.25,63.00,22,
68,Women,USA,Alex,Rigsby,150,5'7,1/3/1992,Delafield,Wis.,Goalie,30,5.58,67.00,23,
69,Women,USA,Maddie,Rooney,145,5'5,7/7/1997,Andover,Minn.,Goalie,25,5.42,65.00,24,
70,Women,USA,Haley,Skarupa,140,5'6,1/3/1994,Rockville,Md.,Forward,28,5.50,66.00,23,
71,Women,USA,Lee,Stecklein,175,6'0,4/23/1994,Roseville,Minn.,Defence,28,6.00,72.00,24,
72,Men,USA,Mark,Arcobello,170,5'8,8/12/1988,Milford,Conn.,Forward,34,5.67,68.00,26,
73,Men,USA,Chad,Billins,185,5'10,5/26/1989,Marysville,Mich.,Defence,33,5.83,70.00,27,
74,Men,USA,Jonathan,Blum,195,6'1,1/30/1989,Ladera Ranch,Calif.,Defence,33,6.08,73.00,26,
75,Men,USA,Will,Borgen,195,6'2,12/19/1996,Moorhead,Minn.,Defence,25,6.17,74.00,25,
76,Men,USA,Chris,Bourque,180,5'8,1/29/1986,North Reading,Mass.,Forward,36,5.67,68.00,27,
77,Men,USA,Bobby,Butler,189,6'0,4/26/1987,Marlborough,Mass.,Forward,35,6.00,72.00,26,
