ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI,
78,Men,USA,Ryan,Donato,196,6'1,4/9/1996,Scituate,Mass.,Forward,26,6.08,73.00,26,
79,Men,USA,Matt,Gilroy,200,6'1,7/20/1984,Bellmore,N.Y.,Defence,38,6.08,73.00,26,
80,Men,USA,Brian,Gionta,175,5'7,1/18/1979,Rochester,N.Y.,Forward,43,5.58,67.00,27,
81,Men,USA,Jordan,Greenway,235,6'5,2/16/1997,Canton,N.Y.,Forward,25,6.42,77.00,28,
82,Men,USA,Ryan,Gunderson,170,5'9,8/16/1985,Bensalem,Pa.,Defence,37,5.75,69.00,25,
83,Men,USA,Chad,Kolarik,185,5'11,1/26/1986,Abington,Pa.,Forward,36,5.92,71.00,26,
84,Men,USA,David,Leggio,185,6'0,7/31/1984,Buffalo,N.Y.,Goalie,38,6.00,72.00,25,
85,Men,USA,Broc,Little,170,5'9,3/24/1988,Rindge,N.H.,Forward,34,5.75,69.00,25,
86,Men,USA,Brandon,Maxwell,196,6'1,3/22/1991,Winter Park,Fla.,Goalie,31,6.08,73.00,26,
87,Men,USA,John,McCarthy,195,6'1,8/9/1986,Boston,Mass.,Forward,36,6.08,73.00,26,
88,Men,USA,Brian,O'Neill,174,5'9,6/1/1988,Yardley,Pa.,Forward,34,5.75,69.00,26,
89,Men,USA,Garrett,Roe,178,5'9,2/22/1988,Vienna,Va.,Forward,34,5.75,69.00,26,
90,Men,USA,Bobby,Sanguinetti,190,6'2,2/29/1988,Wilmington,N.C.,Defence,34,6.17,74.00,24,
91,Men,USA,Jim,Slater,200,6'0,12/9/1982,Lapeer,Mich.,Forward,39,6.00,72.00,27,
92,Men,USA,Ryan,Stoa,210,6'3,4/13/1987,Bloomington,Minn.,Forward,35,6.25,75.00,26,
93,Men,USA,Troy,Terry,179,6'0,9/10/1997,Highlands Ranch,Colo.,Forward,25,6.00,72.00,24,
94,Men,USA,Noah,Welch,215,6'4,8/26/1982,Brighton,Mass.,Defence,40,6.33,76.00,26,
95,Men,USA,James,Wisniewski,205,6'0,2/21/1984,Canton,Mich.,Defence,38,6.00,72.00,28,
96,Men,USA,Ryan,Zapolski,203,6'0,11/11/1986,Erie,Pa.,Goalie,36,6.00,72.00,28,
